frame,master,center_lon,center_lat
041A_05185_121216,20160903, 89.4487760, 37.9368357
041A_05206_161616,20201024, 89.4458889, 37.9321111
041A_05430_131313,20160903, 89.9927737, 35.7009436
041A_05629_131313,20160903, 90.4287205, 33.7101128
041A_05829_131313,20160903, 90.8560536, 31.7181111
041A_06028_131313,20160903, 91.2756075, 29.7249462
041A_06228_131313,20201211, 91.6505556, 27.7225000
041A_06428_131313,20160915, 92.0177175, 25.7207784
041A_06828_131313,20160915, 92.8328348, 21.7288892
041A_08485_100804,20190503, 96.1543889, 5.3449444
041A_08690_051613,20191030, 96.5976111, 3.2087222
041D_07070_131313,20170302,-100.2392222, 19.2724444
041D_07134_222019,20200620, -99.5005000, 18.5832222
042A_04938_131313,20160915, 64.1132756, 40.6181116
042A_05137_131313,20160915, 64.5713878, 38.6296693
042A_05336_131313,20160915, 65.0334969, 36.6417232
042A_05535_131313,20160915, 65.4839427, 34.6527784
042A_05734_131313,20160915, 65.9216632, 32.6601108
042A_05933_131313,20160915, 66.3221687, 30.6658358
042A_06133_131313,20160915, 66.7401657, 28.6714451
042A_06333_131313,20160915, 67.1583311, 26.6743347
042A_06518_081313,20160915, 67.5602775, 24.6787224
043A_04559_030813,20160903, 38.6133871, 43.9988911
043A_04910_040302,20160903, 39.3897212, 40.9356673
043A_05008_161514,20200614, 39.6066111, 39.9413889
043A_05026_131313,20160903, 39.6496666, 39.7499453
043A_05221_121313,20160903, 40.0867190, 37.7899447
043A_05421_141313,20160903, 40.5271671, 35.7956676
043A_05623_131313,20160903, 40.9682778, 33.7791667
043A_05822_131313,20160903, 41.4006638, 31.7871119
044A_04913_071213,20160903, 14.7553323, 40.7026131
044A_05129_010307,20160903, 15.1615540, 38.9633321
044A_05255_141005,20160903, 15.5276094, 37.2772222
044D_02803_131313,20200708,-163.2935000, 61.9478333
044D_02964_080909,20170513,-163.2855000, 59.6460000
044D_03600_070805,20170513,-166.2110000, 54.1394444
044D_03605_070807,20201024,-166.2691667, 53.9758333
044D_03692_000002,20200720,-167.8973889, 53.0705555
044D_13391_110904,20191229, 169.0783333, -43.7583333
044D_13587_181814,20191229, 168.1690000, -45.9081111
045A_02538_121210,20200708, -17.1625000, 64.5776667
046D_04690_121308,20170302, 141.4837222, 43.1831666
046D_04907_081313,20170302, 140.9571111, 40.9770000
046D_05096_121313,20170302, 140.5065000, 39.0422778
046D_05292_131313,20170302, 140.0473889, 37.0524444
046D_05469_071311,20170302, 139.6137778, 35.0626111
046D_09127_131313,20200801, 132.1210556, -1.2744445
046D_09323_090905,20200602, 131.7352778, -3.1050000
047A_09184_131313,20200819, -75.1378333, -1.8427222
047A_09384_131313,20200819, -74.7096111, -3.8410000
047A_09583_131313,20200819, -74.2678333, -5.8368889
047A_09783_131313,20200819, -73.8251667, -7.8332222
047A_10380_131313,20190509, -72.4087778, -13.8060000
047A_10580_131313,20190509, -71.9303333, -15.7977222
047A_11581_141313,20190509, -69.2526667, -25.8002778
047A_11782_131313,20190509, -68.6666111, -27.8017778
047D_09652_111009,20170302, 106.3131111, -6.5587222
048A_06409_131311,20191229, -80.8058889, 25.8601111
048A_06749_111314,20191229, -80.1098889, 22.4786666
048A_08164_161210,20200620, -77.2861111, 8.5683889
048A_08174_131210,20200819, -77.2337778, 8.3187778
048A_08363_131313,20200819, -76.8297778, 6.3793889
048A_08563_131313,20200819, -76.4221111, 4.3794444
048D_04257_131313,20161009, 93.1290512, 47.4106111
048D_04455_131313,20161009, 92.6206128, 45.4262244
048D_04853_131313,20201211, 91.7063333, 41.4481667
048D_05052_131313,20180520, 91.2087222, 39.4651666
048D_05250_131313,20201025, 90.7381111, 37.4794444
048D_05449_131313,20201025, 90.2838889, 35.4901666
048D_05651_141313,20201025, 89.8381667, 33.4754444
048D_05853_131313,20160916, 89.4095019, 31.4536117
048D_06052_131313,20191124, 88.9913333, 29.4598889
048D_06252_131313,20160904, 88.6058293, 27.4561675
048D_06453_131313,20160904, 88.2392184, 25.4570575
048D_06653_131313,20200721, 87.8152222, 23.4638333
048D_06830_061312,20200721, 87.4186667, 21.5208889
049A_04537_131313,20190510,-109.6085000, 44.6251666
049A_05532_131313,20190510,-107.3025000, 34.6847778
049A_05731_131313,20190510,-106.8753333, 32.6922222
049A_06715_141313,20190504,-104.8706667, 22.8778889
049A_06918_131313,20190504,-104.4496111, 20.8275000
049A_07091_051113,20190504,-104.0463889, 18.8292222
049D_05136_131313,20160904, 66.3435544, 38.6203897
049D_05335_131313,20160904, 65.9074990, 36.6342804
049D_05534_131313,20160904, 65.4410562, 34.6436673
049D_05733_131313,20160904, 65.0253336, 32.6501111
049D_05932_131313,20160904, 64.6071103, 30.6550577
049D_06132_131313,20160904, 64.1916095, 28.6618339
049D_06331_131313,20160904, 63.7755544, 26.6650011
049D_06459_040405,20160904, 63.5049434, 25.3355005
050D_04448_151313,20200404, 43.2943333, 45.4562778
050D_04647_121313,20160904, 42.8182207, 43.5267789
050D_04843_131313,20160904, 42.3128319, 41.5414455
050D_05046_141313,20160904, 41.8376653, 39.4737789
050D_05246_131313,20160904, 41.3892209, 37.4810566
050D_05443_121313,20160904, 40.9753876, 35.5733344
050D_05639_131313,20160904, 40.5438320, 33.6068343
050D_07693_131313,20161209, 36.3552222, 13.0567778
050D_07892_131313,20161209, 35.9407778, 11.0568889
050D_08092_131313,20161209, 35.5386111, 9.0593333
050D_08292_131313,20161209, 35.1328333, 7.0567778
050D_08492_131313,20161209, 34.7314444, 5.0568333
050D_09491_131313,20190428, 32.6063889, -4.9317222
051D_02601_131308,20200522, 24.8948255, 64.1042774
051D_04370_131313,20160904, 18.8155541, 46.2679455
051D_04568_131313,20160904, 18.3144985, 44.2850566
051D_04743_080514,20160904, 17.8140542, 42.2683900
051D_04982_051313,20160904, 17.3048319, 40.0615565
051D_05177_000715,20160904, 16.3363879, 37.9768900
051D_08719_111304,20170408, 9.5192778, 2.5204444
052A_13183_181613,20191130, 173.0505000, -42.1487222
053A_09189_130606,20200615, 136.6951111, -1.6063889
053A_09375_151516,20200615, 137.1689445, -3.7356111
054A_04813_131313,20190504, 127.6116667, 41.8701111
054A_05261_121306,20190504, 128.6036667, 37.5608889
054A_05446_131604,20200820, 129.0756111, 35.3732778
054A_05688_051313,20170917, 129.5686667, 33.1088889
054A_05884_001412,20191025, 130.4490000, 31.1021666
054A_09773_111213,20190504, 113.3707778, -7.7749445
054D_07353_071304,20170303, -61.6746667, 16.5631667
054D_07620_180000,20200428, -61.4646111, 13.7857777
054D_10482_131313,20200727, -68.4476111, -14.8325000
054D_10879_131313,20170309, -69.4365000, -18.8066667
054D_11407_131100,20200721, -70.1435000, -24.1333334
054D_12017_130000,20191130, -71.4430000, -30.1760000
055A_05021_131313,20160904, 103.4088319, 39.7820566
055A_05221_131313,20160904, 103.8687209, 37.7946122
055A_05420_131313,20160904, 104.3251096, 35.8058331
055A_05619_131313,20160904, 104.7597210, 33.8149455
055A_05818_131313,20160904, 105.1847210, 31.8185566
055A_06018_131313,20160904, 105.5871099, 29.8248344
055A_06237_161515,20201025, 106.0397222, 27.6338333
055A_07454_101001,20161010, 108.4868323, 15.5116118
055D_06788_080100,20191230, -84.8196111, 22.3457778
055D_07463_141311,20200123, -86.6015000, 15.4148333
055D_07654_131311,20170303, -87.0015000, 13.3862222
055D_07671_161411,20200615, -87.0595556, 13.1377778
055D_07784_040200,20170303, -86.9052222, 12.0694444
055D_09058_061112,20170303, -90.0914444, -0.5295000
056A_04860_131313,20160904, 78.3494980, 41.3971128
056A_05059_131313,20160904, 78.8197198, 39.4085566
056A_05258_131313,20160904, 79.2668294, 37.4257789
056A_05457_131313,20160904, 79.7575012, 35.4360581
056A_05656_131313,20160904, 80.1961078, 33.4460575
056A_05855_131313,20160904, 80.6243843, 31.4491673
056A_06055_131313,20160904, 80.9958344, 29.4539460
056A_06255_131313,20160904, 81.3897732, 27.4564446
056D_05559_131313,20170303,-107.4068889, 34.3914444
056D_06337_131306,20200721,-109.0700000, 26.4471111
056D_06361_161306,20200615,-109.1132778, 26.2266111
056D_06616_001011,20200615,-110.0156111, 23.8828889
056D_06669_000305,20200721,-110.1191111, 23.3836666
057A_05393_151514,20191230, 54.8717778, 36.0748333
057A_05605_131313,20160904, 55.3382768, 33.9477232
057A_05805_131313,20160904, 55.7659985, 31.9571114
057A_06004_131313,20160904, 56.2017758, 29.9635016
057A_06204_131313,20160904, 56.6128338, 27.9678334
057A_06387_130911,20160904, 57.0070538, 25.9717225
057A_09245_131313,20190504, 38.1489445, -2.4412222
057A_09641_131311,20200522, 39.0045556, -6.4399445
057A_09827_131303,20200522, 39.0247778, -8.4375556
057D_03673_131313,20190428,-127.4045000, 53.2446666
057D_03827_091202,20201007,-127.9616667, 51.3772222
058A_04914_121007,20160904, 29.0481088, 41.0586666
058A_05086_131313,20160904, 29.4888324, 39.1533885
058A_05279_131311,20160904, 29.9363311, 37.1647247
058A_08540_131313,20190504, 36.6608333, 4.6112222
058A_08739_131313,20190504, 37.0716111, 2.6107222
059A_04506_121313,20160904, 3.4345541, 44.9368896
059A_05328_050404,20201025, 5.3840556, 36.7360555
059D_00001_041107,20190323, 167.7611111, -15.7791667
059D_03819_050404,20170309,-177.2097222, 51.8182778
059D_11152_131310,20201007, 166.4241111, -21.5737778
060A_00001_030604,20200311, -17.5030556, 28.2237778
060D_03177_141109,20170303, 160.2373333, 58.3910556
060D_03363_131313,20170303, 159.5180556, 56.3373889
060D_03564_141313,20170303, 158.8770556, 54.3365555
060D_03718_021307,20170303, 158.2830556, 52.3845555
060D_09456_010203,20170303, 145.8448333, -4.5249445
060D_09589_101313,20200627, 145.5263333, -5.8211111
060D_09744_080810,20200603, 145.1511667, -7.5431111
