,frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,opass,s1ab_offset_mm4,vel4,podoff4
363,041A_06028_131313,2016-09-03,91.2756,29.7249,-10.3236,13.9928,2.3296,33.9892,879407.2667,11:57:51.330714,A,A,0.0,11.69634852118957,108.95392716238355
364,041A_06228_131313,2020-12-11,91.6506,27.7225,-10.4236,13.9908,2.3296,39.6663,879080.296,11:57:43.261047,A,A,0.0,-114.94863721662938,-32.12311655960752
367,041A_06828_131313,2016-09-15,92.8328,21.7289,-10.7047,14.0043,2.3296,33.902,877978.4131,11:55:39.464506,A,A,0.0,47.71287674590298,65.87920689091976
370,041D_07070_131313,2017-03-02,-100.2392,19.2724,-169.1823,14.0075,2.3296,33.9142,877997.0496,12:34:05.389750,A,D,24.529062802230058,-33.37634263377497,112.94056506028744
373,042A_04938_131313,2016-09-15,64.1133,40.6181,-10.0806,13.9567,2.3296,33.6719,878974.6337,13:39:37.813837,A,A,0.0,-8.169933609239564,44.08804964782347
374,042A_05137_131313,2016-09-15,64.5714,38.6297,-10.1116,13.9606,2.3296,33.7124,878973.4689,13:39:04.704992,A,A,0.0,-5.968600754126494,57.58502021823636
376,042A_05535_131313,2016-09-15,65.4839,34.6528,-10.1888,13.9761,2.3296,33.8254,878976.9633,13:37:58.499635,A,A,0.0,-0.6490663647550896,53.06521491456793
377,042A_05734_131313,2016-09-15,65.9217,32.6601,-10.245,13.978,2.3296,33.8596,878976.9633,13:37:25.401068,A,A,84.34021510345877,-0.9093366978465132,54.16997479909168
378,042A_05933_131313,2016-09-15,66.3222,30.6658,-10.3253,13.9862,2.3296,33.9221,878976.9633,13:36:52.299416,A,A,74.35354185996144,7.4687228337181075,76.35270875564086
380,042A_06333_131313,2016-09-15,67.1583,26.6743,-10.4775,13.9912,2.3296,33.9772,878976.9633,13:35:46.103309,A,A,-46.05464586582554,40.89211734716804,112.03157627481332
381,042A_06518_081313,2016-09-15,67.5603,24.6787,-10.5662,13.9943,2.3296,34.0025,878974.6337,13:35:13.003714,A,A,0.0,66.40124908842743,117.15153539521263
384,043A_04559_030813,2016-09-03,38.6134,43.9989,-10.0605,13.9469,2.3296,33.5982,879150.5156,15:19:18.245096,A,A,39.627672978933816,28.401348381059652,27.540530711175386
385,043A_04910_040302,2016-09-03,39.3897,40.9357,-10.0532,13.9572,2.3296,33.6836,879150.5156,15:18:27.156299,A,A,-12.490526976835522,19.887923108115853,107.47247173944771
386,043A_05008_161514,2020-06-14,39.6066,39.9414,-10.0745,13.9599,2.3296,39.4947,879557.0242,15:18:31.130856,A,A,41.62163152081307,18.24702201537328,43.98664893294522
388,043A_05421_141313,2016-09-03,40.5272,35.7957,-10.17,13.9703,2.3296,33.8396,879150.5156,15:17:01.654407,A,A,3.831902083939103,4.370353767397865,-18.52331247497934
389,043A_05623_131313,2016-09-03,40.9683,33.7792,-10.2254,13.9744,2.3296,33.8747,879150.5156,15:16:28.140618,A,A,0.0,20.483863886559654,32.99526480490528
390,043A_05822_131313,2016-09-03,41.4007,31.7871,-10.2859,13.9821,2.3296,33.9394,879150.5156,15:15:55.043077,A,A,54.085255258991225,29.44482936403072,72.23193293668163
395,044A_05129_010307,2016-09-03,15.1616,38.9633,-10.083,13.9573,2.3296,33.9418,880600.5015,16:56:38.881724,A,A,-0.19827329605772195,-26.74445951497117,41.28500875119784
399,044D_03600_070805,2017-05-13,-166.211,54.1394,-169.7192,13.9203,2.3296,33.5711,881342.4673,17:20:41.998189,A,D,42.50043189997531,16.738002989852586,-2.3085100450370257
402,044D_13391_110904,2019-12-29,169.0783,-43.7583,-161.8567,14.0683,2.3296,38.7318,886266.1633,17:48:11.793128,A,D,0.0,-36.69374998854244,77.49353830546497
407,046D_04690_121308,2017-03-02,141.4837,43.1832,-169.9463,13.9444,2.3296,33.6324,879531.0663,20:41:11.041821,A,D,0.0,38.0587971019206,100.48964004852292
418,047A_10380_131313,2019-05-09,-72.4088,-13.806,-13.0977,14.071,2.3296,39.3888,879661.2481,23:16:31.958491,B,A,-7.455383612316281,5.963511582973733,-7.455383612316281
419,047A_10580_131313,2019-05-09,-71.9303,-15.7977,-13.2919,14.0643,2.3296,39.3216,879661.2481,23:15:58.855812,B,A,10.908970178395517,-24.312419116143158,109.19097802618167
421,047A_11782_131313,2019-05-09,-68.6666,-27.8018,-14.7724,14.0733,2.3296,39.0735,882138.9037,23:12:38.407741,B,A,-3.7515013692926606,14.211894625546128,1.7838191133135115
438,048D_06252_131313,2016-09-04,88.6058,27.4562,-169.5678,13.9944,2.3296,33.8231,878040.6457,0:03:04.854504,A,D,0.0,-36.01132713310534,7.72946775861199
439,048D_06453_131313,2016-09-04,88.2392,25.4571,-169.4636,13.9907,2.3296,33.8515,878042.9753,0:03:37.953071,A,D,-199.50174734596845,-43.692582072524836,13.750022495416909
443,049A_04537_131313,2019-05-10,-109.6085,44.6252,-10.0279,13.9522,2.3296,39.4002,879586.5357,1:11:25.880498,B,A,-68.6200025793136,43.69519942655393,-68.6200025793136
444,049A_05532_131313,2019-05-10,-107.3025,34.6848,-10.1761,13.9747,2.3296,39.6214,879587.7004,1:08:40.389717,B,A,-15.95154222872534,14.751795486593295,-15.951542228725337
445,049A_05731_131313,2019-05-10,-106.8753,32.6922,-10.2388,13.9808,2.3296,39.6595,879587.7004,1:08:07.292176,B,A,12.225094711067037,1.4370116623943647,12.225094711067037
447,049A_06918_131313,2019-05-04,-104.4496,20.8275,-10.7381,14.0073,2.3296,39.6738,878003.0399,1:05:32.225293,A,A,-5.428388535826291,-38.82698069687985,119.07437259883716
448,049A_07091_051113,2019-05-04,-104.0464,18.8292,-10.8369,14.0073,2.3296,39.688,878003.0399,1:04:59.121587,A,A,52.508311238309965,-32.43680266427789,-38.78024897445613
450,049D_05335_131313,2016-09-04,65.9075,36.6343,-169.8582,13.962,2.3296,33.7496,879111.5787,1:39:17.075257,A,D,0.0,-26.171046791893968,41.11277126613727
451,049D_05534_131313,2016-09-04,65.4411,34.6437,-169.8227,13.9671,2.3296,33.7874,879111.5787,1:39:50.176908,A,D,0.0,-19.90630086101198,35.17403793580752
453,049D_05932_131313,2016-09-04,64.6071,30.6551,-169.6827,13.9784,2.3296,33.8907,879111.5787,1:40:56.382266,A,D,0.0,-12.786413319017294,57.77763768990255
455,049D_06331_131313,2016-09-04,63.7756,26.665,-169.5276,13.9897,2.3296,33.9762,879111.5787,1:42:02.585568,A,D,0.0,-10.711665814627647,60.21653653734103
456,049D_06459_040405,2016-09-04,63.5049,25.3355,-169.4692,13.9918,2.3296,34.0001,879111.5787,1:42:24.647854,A,D,0.0,-24.23895170701956,80.98536181923468
