frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time
021D_04564_090603,20160902.0000,38.8517,44.1472,-169.9616,13.9415,2.3296,33.6373,879865.6912,3:32:23.821438
021D_04972_131213,20160902.0000,37.9328,40.2822,-169.9290,13.9546,2.3296,33.7638,879865.6912,3:33:28.240518
021D_05168_131313,20160902.0000,37.4666,38.2948,-169.9023,13.9588,2.3296,33.8043,879865.6912,3:34:01.329835
021D_05367_131313,20160902.0000,37.0272,36.3051,-169.8539,13.9614,2.3296,33.8434,879865.6912,3:34:34.427375
021D_05566_131313,20160902.0000,36.5929,34.3128,-169.7986,13.9688,2.3296,33.9175,879868.0207,3:35:07.529026
021D_05765_131313,20201222.0000,36.1598,32.3220,-169.7366,13.9719,2.3296,39.6565,879809.2825,3:36:05.233066
021D_05965_131313,20201222.0000,35.7395,30.3283,-169.6663,13.9756,2.3296,39.6911,879809.2825,3:36:38.335745
021D_07147_131313,20170307.0000,33.3443,18.5128,-169.1375,14.0070,2.3296,33.8853,877835.0378,3:38:44.658282
021D_08954_121313,20170307.0000,29.6553,0.4679,-168.0641,14.0467,2.3296,33.8299,878061.5045,3:43:43.466545
021D_09150_131313,20170325.0000,29.2252,-1.5296,-167.9237,14.0488,2.3296,33.8656,878429.6825,3:44:58.903932
022A_10918_110700,20190619.0000,-174.3201,-19.2228,-13.5042,14.0656,2.3296,36.6444,853666.1058,6:07:13.105939
022D_04389_141313,20160902.0000,14.6531,46.0653,-169.9491,13.9373,2.3296,33.6380,880310.3047,5:10:36.446595
022D_04617_161617,20160902.0000,14.0992,43.8306,-169.9524,13.9407,2.3296,33.6817,880310.3047,5:11:13.682997
022D_04826_121209,20160902.0000,13.5581,41.6252,-169.9459,13.9474,2.3296,33.7674,880310.3047,5:11:50.439427
022D_05265_072009,20160902.0000,12.5543,37.2046,-169.8663,13.9585,2.3296,33.8898,880311.4695,5:13:04.010870
023A_13470_171714,20200327.0000,170.1039,-44.7166,-18.4495,14.0656,2.3296,38.6902,886330.4517,7:38:07.359974
023D_06184_131002,20170307.0000,-14.0946,28.0906,-169.5768,13.9829,2.3296,34.1037,880143.9665,6:53:35.062118
024A_04527_060503,20190508.0000,147.5269,44.6574,-10.0297,13.9451,2.3296,39.4527,880164.1007,8:02:52.082735
