,count,opass,centroid_lon,centroid_lat,VEL_N_noTI,VEL_E_noTI,RMSE_VEL_N_noTI,RMSE_VEL_E_noTI,VEL_N_noT,VEL_E_noT,RMSE_VEL_N_noT,RMSE_VEL_E_noT,ITRF_N,ITRF_E,ITRF_RMSE_E,ITRF_RMSE_N
88,2,"['A', 'D']",70.18369999999999,34.2049,9.932246011781464,50.910428336858125,1.948096798069382,10.863235464475858,13.620733676445838,39.0293537409576,1.93714205123698,10.802195166528756,18.928800000000003,29.9276,1.083759967274427,15.500373199808232
89,2,"['A', 'D']",70.18369999999999,36.4549,3.110759344513523,20.54663019467706,2.145859777361437,12.029534609374432,5.8020600135828815,11.364035690014727,2.1098326159890046,11.827597109384024,3.158,28.8352,0.0277067982030885,0.2049796737890531
90,2,"['A', 'D']",72.43369999999999,25.2049,20.6103527344882,25.43338714139714,4.902409264125068,26.447434997938565,16.908792460560946,44.7154830869492,5.037710662311064,27.17952817778083,34.014,36.2676,0.4002528367586334,0.1365955099310862
91,3,"['D', 'A', 'A']",72.43369999999999,27.4549,22.37813297857268,54.76904923618822,1.948892879783416,10.607507944830104,26.43347157913567,28.099875275102445,2.2052659869741245,12.00428955291784,34.0092,35.092000000000006,0.423546534239942,0.1340062187611698
92,2,"['D', 'A']",72.43369999999999,29.7049,19.922842943459894,68.93627263402104,2.397249906268674,13.15896117337636,25.04350412145076,43.14638537718034,2.230351477088964,12.246412240056689,34.00639999999999,33.9164,0.4458314330177567,0.1339738780509094
93,3,"['D', 'D', 'A']",72.43369999999999,31.9549,20.38577107179236,42.72783058836315,1.3078630787847858,7.23898411725185,24.296700142020736,22.21113953952861,1.3360114153059182,7.395359218184401,34.001999999999995,32.632,0.4689882727744907,0.1363207003111897
94,2,"['D', 'A']",72.43369999999999,34.2049,19.404234644972806,49.37056352187138,1.3500299887505691,7.530488243128739,22.74631450233835,33.23381299210292,1.3333657935534875,7.43718931059444,15.099199999999998,30.0688,1.4508340130191784,15.750047068712735
95,4,"['D', 'D', 'A', 'A']",72.43369999999999,36.4549,12.167946907652237,39.90138862217425,1.3366232173572286,7.494580553386756,14.411788574431364,32.62471190680004,1.3313810546429976,7.465314339209311,2.5000000000000004,28.9028,0.0220831761000696,0.2078661428259382
96,2,"['D', 'A']",74.68369999999999,29.7049,10.776003181709475,-45.03347460083988,6.317200839863454,34.64346343626978,15.028177053576952,-68.5147737316229,6.502970030655807,35.66214900338561,34.3904,34.5596,0.4350524872548899,0.1172774488126332
97,2,"['A', 'D']",74.68369999999999,34.2049,18.7724106317974,40.76712706864042,2.5424564229571747,14.195857901580888,19.49878003093132,35.612485060487735,2.474301225507716,13.816543782333058,9.6268,29.7948,1.5133134727037445,14.161844489095808
