frame,master,center_lon,center_lat,heading,azimuth_resolution,range_resolution,avg_incidence_angle,centre_range_m,centre_time,s1AorB,slope_plates_vel_azi_itrf2014,slope_daz_mm_mmyear,daz_mm_RMSE_selection,daz_mm_count_selection,intercept_daz_mm_mmyear,daz_mm_RMSE_mmy_full,daz_mm_notide_RMSE_selection,daz_mm_notide_count_selection,slope_daz_mm_notide_mmyear,intercept_daz_mm_notide_mmyear,daz_mm_notide_RMSE_mmy_full,daz_mm_notide_noiono_grad_RMSE_selection,daz_mm_notide_noiono_grad_count_selection,slope_daz_mm_notide_noiono_grad_mmyear,intercept_daz_mm_notide_noiono_grad_mmyear,daz_mm_notide_noiono_grad_RMSE_mmy_full
012A_06241_131313,20160901,87.5761,27.5961,-10.4216,13.9893,2.3296,33.9994,879291.6205,12:13:43.440525,A,2.7230668557166258,22.58060275186095,28.831431622729998,70,-41.201423849750086,3.959733506642496,21.66532224619445,62,22.381779057883225,41.14974834717384,4.049939629128859,21.84106725308632,63,10.39797539787123,42.92059819752848,3.507504232894758
012A_06441_131313,20160901,87.9311,25.6812,-10.5201,13.9913,2.3296,34.0269,879291.6205,12:13:11.722263,A,27.71672302705162,36.94489694805191,28.614759819647407,68,-73.80384237454203,5.965897776927196,30.87023568812147,72,35.79528127212798,11.711788706086104,6.047118183850951,33.36769826321472,74,28.73639412490347,-20.689317752214123,5.600413281504831
012D_06936_131313,20170312,-104.0796,20.6201,-169.2484,14.0039,2.3296,33.919,878136.6569,12:50:10.847289,A,7.546623495553259,14.485885563738504,58.34056845078874,83,-79.08290550466283,8.824764524715645,60.99952874967981,84,14.645994502401413,-128.6839454287034,8.856044020348689,58.33792568632028,82,14.772186983023902,-131.53666637614094,8.852227089530487
012D_07075_080504,20170312,-104.3856,19.0958,-169.1718,14.0087,2.3296,33.9497,878136.6569,12:50:36.073075,A,3.813437869812252,5.802863466810026,47.49741403903467,41,-110.07696084255517,25.15022861316896,41.872906540131154,43,6.435288759782493,-195.25244438572287,23.2071869729018,42.02499535079485,43,6.215936692536789,-197.00252562488345,23.16396333894462
013A_05000_131313,20160901,60.1548,39.9992,-10.0816,13.958,2.3296,33.7683,879595.462,13:55:54.254090,A,0.9108857840176612,-0.482457630592369,15.045942859307582,50,5.241423746850803,2.8212895238204347,14.022335245485635,49,-2.813101283530187,33.49744846088187,2.610356571134602,16.600236011687244,55,-5.9221009857644615,38.5435023495275,2.7511954878604623
013A_05199_131313,20160901,60.6121,38.0125,-10.1145,13.9623,2.3296,33.8104,879593.1325,13:55:21.155522,A,0.7644799855401149,5.932346320116081,18.070760750765626,63,-13.16095493001433,2.759707950576417,15.11784330201146,60,5.471828571056097,21.83856476574741,2.5037639453755625,15.912450436953492,60,1.3420734613424137,30.64714557661958,2.6457785857443734
013A_05398_131313,20160901,61.0752,36.0482,-10.1446,13.9676,2.3296,33.8529,879595.462,13:54:48.485538,A,0.6012048045924029,3.1203349673601743,16.673214778430168,66,-14.058573523932212,2.052656426581481,15.308345260618292,65,1.7720745313790789,10.1168286456762,2.052472127110084,15.220760391218368,63,-3.96169783135042,25.099348054466105,2.0877562825906164
013A_05797_131313,20160913,61.9139,32.0353,-10.2806,13.9812,2.3296,33.8197,878458.8021,13:53:42.460677,A,0.3069380209668613,6.330130453827451,17.897458792453012,71,-71.29771884973374,1.771346835198299,21.1048386264678,81,6.1612056997743965,-127.45885304305898,1.6457462156530993,18.044054228550117,79,-6.052998365417424,-85.07201956742423,1.7015561756420026
013A_05996_131313,20160913,62.3332,30.0433,-10.3512,13.9861,2.3296,33.8498,878457.6373,13:53:09.365192,A,0.1409944923218594,3.296827109330892,15.65075632101698,66,-50.511834992097775,2.195613492971374,19.806305353798205,75,2.7425928362564123,-96.55152966112487,2.0835262001624457,17.526578734277596,73,-8.693210744827164,-63.44331187262618,2.137336393834877
013A_06196_131313,20160913,62.7562,28.049,-10.4238,13.9901,2.3296,33.8791,878457.6373,13:52:36.264569,A,0.0083550900472872,11.485437923749696,22.351464259382112,76,-80.99818102789328,2.493591245539238,23.69066091604315,77,11.28110770786548,-126.40894998289254,2.5073699349438883,19.58715764598582,76,-5.444574509139364,-74.03502741965121,2.131510168724401
013A_06392_121313,20160913,63.1643,26.2028,-10.488,13.9919,2.3296,33.907,878457.6373,13:52:03.166002,A,2.0558604184873257,15.139012592433156,30.50284249014208,64,-98.67539953106998,3.833433294240773,32.28591514986279,65,14.49163682999105,-152.95554326383552,3.9582164681083554,26.9833682291769,57,-0.2010361334363967,-110.33695876720036,3.112454394713661
013D_03885_131313,20170306,-121.8593,51.1307,-169.8725,13.9262,2.3296,33.5909,881209.7412,14:19:45.979325,B,14.42495059592059,5.516170679680459,29.664868704696307,23,-83.5570295266878,41.0077930673964,27.386083262338047,24,5.347558078619778,-116.82377016029652,38.850020560517386,28.03613460720889,25,5.172061778335035,-114.02020936952304,38.448896188992656
013D_04083_131313,20170306,-122.4044,49.1501,-169.9265,13.9321,2.3296,33.6814,881208.5764,14:20:19.093309,B,14.518499298076888,16.828963883136797,46.09282863756178,56,-101.20291115430992,6.599657029589164,42.04482350392475,55,17.62376771920803,-134.72490609181395,6.291833380146508,44.49497187605954,58,18.327488542523003,-136.05398046589457,6.227589826184283
014A_04939_131313,20160901,35.3283,40.6164,-10.0705,13.9589,2.3296,39.4457,879170.4833,15:34:49.152249,A,7.231856359746405,20.57636070812458,19.65112532567297,105,-37.75524887687303,1.90440874859808,17.767522243206347,104,20.3480686848828,27.271461165000115,1.74823074394012,19.24876339631767,105,17.243165931067622,32.764912869439144,1.9073822609082929
